Date,Open,High,Low,Close,Adj Close,Volume
2022-03-16,14245.769531,14553.099609,14183.259766,14440.740234,14440.740234,138610100
2022-03-17,14500.049805,14509.230469,14243.940430,14388.059570,14388.059570,96870400
2022-03-18,14374.410156,14413.089844,14109.790039,14413.089844,14413.089844,181197700
2022-03-21,14385.820313,14457.299805,14306.259766,14326.969727,14326.969727,69806300
2022-03-22,14365.669922,14508.009766,14343.339844,14473.200195,14473.200195,79554100
2022-03-23,14532.839844,14539.309570,14226.429688,14283.650391,14283.650391,76384100
2022-03-24,14305.799805,14375.820313,14187.820313,14273.790039,14273.790039,77315500
2022-03-25,14332.259766,14428.030273,14247.379883,14305.759766,14305.759766,73042400
2022-03-28,14376.000000,14627.580078,14371.900391,14417.370117,14417.370117,70588000
2022-03-29,14592.740234,14925.250000,14553.709961,14820.330078,14820.330078,99659400
2022-03-30,14712.320313,14744.719727,14555.870117,14606.049805,14606.049805,76506500
2022-03-31,14674.830078,14732.000000,14404.030273,14414.750000,14414.750000,88194400
2022-04-01,14447.780273,14506.019531,14403.089844,14446.480469,14446.480469,72477600
2022-04-04,14503.959961,14535.070313,14334.099609,14518.160156,14518.160156,69362800
2022-04-05,14504.799805,14603.440430,14347.330078,14424.360352,14424.360352,79130600
2022-04-06,14402.160156,14437.910156,14027.179688,14151.690430,14151.690430,104304600
2022-04-07,14187.129883,14315.349609,14069.530273,14078.150391,14078.150391,84791200
2022-04-08,14275.870117,14321.820313,14178.280273,14283.669922,14283.669922,74244800
2022-04-11,14162.969727,14298.019531,14094.830078,14192.780273,14192.780273,69814800
2022-04-12,13956.559570,14180.089844,13887.110352,14124.950195,14124.950195,104676200
2022-04-13,14062.700195,14100.030273,13961.950195,14076.440430,14076.440430,80458200
2022-04-14,14098.480469,14198.780273,14038.299805,14163.849609,14163.849609,87530500
2022-04-19,14057.429688,14199.089844,13991.700195,14153.459961,14153.459961,70608100
2022-04-20,14154.480469,14362.030273,14149.679688,14362.030273,14362.030273,75486900
2022-04-21,14376.049805,14598.110352,14374.589844,14502.410156,14502.410156,78397500
2022-04-22,14320.509766,14372.469727,14142.089844,14142.089844,14142.089844,82415500
2022-04-25,13908.049805,14037.629883,13863.389648,13924.169922,13924.169922,85275400
2022-04-26,14087.080078,14112.839844,13749.679688,13756.400391,13756.400391,98346100
2022-04-27,13760.219727,13849.429688,13566.200195,13793.940430,13793.940430,134621900
2022-04-28,13907.059570,14074.709961,13822.160156,13979.839844,13979.839844,97665400
2022-04-29,14095.929688,14187.019531,14038.549805,14097.879883,14097.879883,102033100
2022-05-02,13996.820313,14036.110352,13778.129883,13939.070313,13939.070313,85974500
2022-05-03,13958.919922,14081.150391,13920.459961,14039.469727,14039.469727,86472700
2022-05-04,14020.900391,14073.209961,13970.620117,13970.820313,13970.820313,71631100
2022-05-05,14282.769531,14315.240234,13857.580078,13902.519531,13902.519531,86031700
2022-05-06,13832.650391,13851.450195,13592.150391,13674.290039,13674.290039,96547800
2022-05-09,13624.919922,13697.900391,13380.669922,13380.669922,13380.669922,82759800
2022-05-10,13550.019531,13719.950195,13514.490234,13534.740234,13534.740234,84927900
2022-05-11,13587.290039,13829.099609,13508.559570,13828.639648,13828.639648,107719800
2022-05-12,13512.129883,13808.089844,13479.360352,13739.639648,13739.639648,110587600
2022-05-13,13837.419922,14034.150391,13795.639648,14027.929688,14027.929688,90805300
2022-05-16,13986.169922,14043.099609,13864.950195,13964.379883,13964.379883,67914800
2022-05-17,14072.669922,14203.089844,14056.980469,14185.940430,14185.940430,71183700
2022-05-18,14197.179688,14226.469727,13999.540039,14007.759766,14007.759766,69356900
